intentos nombre palabra
3 jdu sin
7 jdu tener
11 jdu esos
6 jdu mil
6 jdu por
13 jdu tia
12 jdu nacer
11 jdu comer
8 jdu otro
8 jdu aguja
7 jdu cuerda
25 jdu manual
9 jdu porro
4 jdu sistema
5 jdu dictadura
15 jose moco
4 jdu pon
11 jdu calle
10 Luis onda
11 jdu hilo
9 jdu proceso
7 Jose luego
11 jdu bien
17 jdu mejor
3 jdu peor
10 jdu pieza
17 jdu grupo
7 jdu nuez
9 jdu ronca
21 jdu gustar
20 jdu y garcia alejar
6 jdu unico
7 jdu pieza
23 jdu blanco
7 jdu clima
11 jdu yerno
21 jdu palmera
3 jdu naranja
8 jdu rodillo
6 jdu lol
4 jdu voz
5 jdu con
9 jdu arte
7 jdu aura
6 jdu pues
6 jdu cama
10 jdu usar
